code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
1278,sub county,Butoloogo,22,17383,68,75,54,33,1081,22,29,9939,845
1308,sub county,Buwunga,18,39530,304,263,81,52,11254,48,131,14234,1380
1760,sub county,Buyende,78,15569,58,62,23,11,1129,8,94,8420,945
1105,sub county,Buyobo,89,7029,14,27,14,7,3040,6,1,1972,157
,sub county,Bweyogerere Division,,47714,316,223,21,34,16053,31,176,7266,1250
1320,sub county,Bwijanga,97,24556,102,157,77,34,3386,18,28,10833,770
,sub county,Cawente,,12984,136,139,83,44,2947,39,57,5158,427
,sub county,Central Division,,52306,322,210,64,49,17824,32,173,15752,1049
1237,sub county,Chesower,39,2837,15,2,15,4,540,4,3,1810,89
1038,sub county,Ddwaniro,24,19105,69,89,48,25,3416,28,23,8577,509
,sub county,Division B,,20675,151,66,9,16,7067,10,14,5247,411
,sub county,East Division,,5330,15,20,13,3,1115,5,10,2975,116
939,sub county,Erussi,95,14516,136,221,96,43,2445,42,51,5978,840
1338,sub county,Gadumire,41,13762,44,43,38,20,1234,10,272,7838,572
,sub county,Galiraya,,10610,53,44,53,11,1736,22,31,4525,438
1572,sub county,Gayaza,108,7648,24,26,21,13,727,5,9,4362,215
2212,sub county,Gimara,47,5580,63,92,44,27,1539,12,13,2088,356
1888,sub county,Hamurwa,56,12812,43,58,34,14,3141,16,13,6274,170
1829,sub county,Ibulanku,72,15644,75,51,25,10,4530,7,96,5461,574
,sub county,Icheme,,19509,161,198,130,53,5231,65,64,6376,582
1401,sub county,Ihandiro,58,6919,26,17,17,10,1813,4,7,3516,175
956,sub county,Ihunga,62,14717,20,32,36,9,3913,12,9,5837,453
,sub county,Iki,,8080,36,37,34,16,1863,13,21,3215,262
1890,sub county,Ikumba,56,15754,72,87,66,17,3197,12,16,7565,282
1328,sub county,Imanyiro,73,13972,53,31,18,19,2868,12,79,5206,591
,sub county,Ishaka Division,,8350,7,28,5,6,2322,3,8,3574,252
1814,sub county,Ishongororo,2,6966,14,23,19,10,741,74,3,4418,325
916,sub county,Ivukula,43,17817,45,49,24,16,1859,19,194,11160,343
1183,sub county,Jangokoro,96,12363,149,267,101,52,1037,27,73,5636,793
,sub county,Kaabong Town Council,,4137,16,20,3,4,492,7,66,2326,315
,sub county,Kabale Northern,,7685,8,136,14,2,2520,23,7,2854,122
1935,sub county,Kaberamaido,35,7359,74,36,69,15,1865,13,30,3116,320
1849,sub county,Kabingo,3,10899,17,26,43,19,2236,10,13,5685,184
1046,sub county,Kabira,24,6456,14,8,21,5,949,6,3,3397,93
